Especie,Talla (cm),Peso (gr),Integridad (%),pH,Temperatura (°C),Planta,Puerto,Flota,Nombre nave pesca,Zona pesca,Fecha de recepción
Anchoveta,9.94295872226274,58.64575375769179,94,5.465501185330211,27.652084339316914,Planta 3,Pesca Norte,Industrial,Isidora I,150,2024-03-29
Anchoveta,12.429503577408047,92.15001463765714,74,5.117433066349345,24.20760914535895,Planta 2,Pesca Norte,Industrial,Fernanda,154,2024-07-28
Sardina española,25.16966861408075,115.25044017880616,90,6.838378610987856,22.869134569631388,Planta 2,Pesca Sur,Industrial,Isaac,130,2024-05-31
Sardina española,17.98591299662934,131.57987922128595,93,5.33818245721927,28.551911783894386,Planta 2,Pesca Sur,Artesanal,Isidora I,108,2024-06-08
Anchoveta,12.573416986574298,76.43815667387945,84,6.3070998050626805,21.05706021008158,Planta 1,Pesca Norte,Industrial,Francesca,136,2024-01-12
Anchoveta,11.850157654282924,74.22126845764798,90,6.580434733844346,26.444326976910645,Planta 3,Pesca Sur,Artesanal,Isidora I,120,2024-01-02
Sardina española,23.419042948573306,117.90442137488498,76,6.063899713531384,20.224513841074604,Planta 1,Pesca Norte,Industrial,Emilia,146,2024-07-19
Anchoveta,13.669853535477644,63.51039440852776,98,6.078306099367184,27.135732309370677,Planta 2,Pesca Norte,Artesanal,Francesca,128,2024-05-23
Sardina española,18.736686257876254,136.89493451030864,95,6.749026358813058,21.1200363034345,Planta 2,Pesca Sur,Industrial,Santiago G,137,2024-07-21
Caballa,34.38346864466635,285.9177169865992,91,5.426510079628301,27.232403660048746,Planta 2,Pesca Sur,Industrial,Fernanda,127,2024-03-28
Anchoveta,16.281033924647325,94.98525439696665,91,5.871480999637684,28.91392803744083,Planta 2,Pesca Norte,Industrial,Liliana,126,2024-07-05
Caballa,14.272853765366824,331.39526427533093,71,6.251306045864325,28.65815684123149,Planta 3,Pesca Norte,Artesanal,Isidora I,133,2024-04-18
Caballa,30.02336763766397,315.19917159030314,91,6.1466401413988665,28.955129967848723,Planta 3,Pesca Norte,Artesanal,Liliana,107,2024-12-17
Anchoveta,15.116257155943662,85.1341737585028,84,6.543032321703245,29.52882155841985,Planta 2,Pesca Norte,Industrial,Isidora I,108,2024-05-18
Anchoveta,14.091728565176087,77.53878442818267,91,5.479352374228829,26.892552630586337,Planta 1,Pesca Sur,Artesanal,Isaac,155,2024-10-28
Jurel,37.55317366623615,690.5929037721736,75,6.692190699484478,23.641243905017788,Planta 3,Pesca Sur,Industrial,Isidora I,132,2024-08-02
Jurel,45.55101657674209,720.7245032754242,70,5.456435299694127,24.250008052188416,Planta 2,Pesca Sur,Industrial,Fernanda,106,2024-07-04
Caballa,34.314945816906814,318.39988225375737,77,6.945254426544313,29.833122971709525,Planta 3,Pesca Norte,Industrial,Isidora I,149,2024-12-28
Jurel,27.242809443254743,627.5945330689453,99,5.401657412828575,29.148142171135362,Planta 2,Pesca Norte,Artesanal,Isidora I,125,2024-10-04
Sardina española,19.349914135305553,136.30562057281364,86,6.200531420903262,21.258435726051733,Planta 2,Pesca Sur,Industrial,Isidora I,118,2024-03-04
Jurel,44.22797397109956,663.1166599789633,98,6.625851994971645,22.170237430800213,Planta 1,Pesca Sur,Artesanal,Fernanda,153,2024-09-19
Sardina española,14.984955090209397,154.51338589933235,85,6.781458745021445,26.020259126214416,Planta 3,Pesca Sur,Industrial,Isaac,136,2024-02-06
Caballa,29.490051190730224,412.4391249404941,83,6.862775285869057,28.301734173913918,Planta 1,Pesca Norte,Artesanal,Fernanda,154,2024-11-25
Caballa,36.88386816603163,365.98346057280344,95,6.695361867705923,29.64074003570125,Planta 1,Pesca Norte,Industrial,Licanten,137,2024-09-22
Sardina española,21.356859291884863,152.25079272797774,98,5.789961446258625,27.380991186231558,Planta 1,Pesca Norte,Industrial,Isaac,158,2024-08-10
Jurel,22.344290230816412,595.3529743343261,81,6.0733131909668945,20.29148384019361,Planta 1,Pesca Sur,Industrial,Emilia,151,2024-06-24
Jurel,41.02018312146249,589.0906197189188,94,6.523947068100508,22.362433189809316,Planta 2,Pesca Sur,Industrial,Francesca,128,2024-04-15
Jurel,37.77736974434919,692.5056888609387,70,6.973773691317434,21.16917968453231,Planta 3,Pesca Norte,Artesanal,Santiago G,118,2024-06-11
Anchoveta,13.89203481800423,124.49538354581429,74,6.819463962151637,26.711598873713843,Planta 2,Pesca Sur,Artesanal,Liliana,101,2024-02-18
Jurel,42.00639459570872,787.9126455251416,80,5.2831941209304,25.820918992990727,Planta 3,Pesca Norte,Artesanal,Licanten,152,2024-05-02
Jurel,30.19912754301599,627.4871323172049,96,5.540175984118703,28.987149749906283,Planta 1,Pesca Sur,Artesanal,Santiago G,147,2024-06-15
Caballa,32.74507904162953,284.3269060660236,95,5.710501292050105,21.795291552907965,Planta 2,Pesca Sur,Industrial,Isaac,134,2024-10-27
Anchoveta,16.98243000609169,79.1829088570984,72,5.794291928485553,25.00268051975592,Planta 1,Pesca Sur,Artesanal,Isidora I,115,2024-06-19
Caballa,29.594982958518635,359.9587936996799,98,6.3519969752710175,22.697699220467456,Planta 3,Pesca Norte,Industrial,Santiago G,101,2024-12-08
Jurel,26.693730771121665,607.4137293029638,76,5.67335808587147,27.972244077441168,Planta 3,Pesca Norte,Artesanal,Francesca,128,2024-08-27
Jurel,36.687152293848825,797.6918065149819,85,5.688571204545109,27.369280637244703,Planta 2,Pesca Sur,Industrial,Liliana,119,2024-01-06
Jurel,34.96416655074791,646.5433696891064,91,6.614502222049573,20.945483710658618,Planta 2,Pesca Sur,Industrial,Francesca,129,2024-08-14
Caballa,26.296972750370294,284.59745668257244,77,5.304456791642556,24.102667687475332,Planta 1,Pesca Norte,Artesanal,Licanten,143,2024-10-11
Sardina española,15.55271473894629,75.43226732693032,76,5.355585762646232,23.957425523537953,Planta 3,Pesca Norte,Artesanal,Emilia,122,2024-12-03
Anchoveta,14.29901302506645,87.67569468265974,98,5.672922120155586,28.354428829276067,Planta 2,Pesca Norte,Industrial,Santiago G,118,2024-12-23
Caballa,26.17573979985236,305.8964197166884,92,6.772410268140072,22.222514959922766,Planta 2,Pesca Norte,Artesanal,Fernanda,128,2024-05-05
Sardina española,19.62689404288787,138.65351092270328,87,6.955356489323517,29.525494364961883,Planta 3,Pesca Norte,Industrial,Isidora I,129,2024-03-13
Sardina española,15.949056534847953,123.94199828051791,80,5.739413901879509,23.3710375215414,Planta 2,Pesca Sur,Industrial,Emilia,107,2024-06-25
Caballa,21.11038897897004,295.4866455799868,74,5.881493574468555,21.099562751271105,Planta 3,Pesca Norte,Artesanal,Fernanda,130,2024-01-09
Caballa,31.063944752297033,278.5876184123552,79,6.532613527372435,29.753572778932202,Planta 2,Pesca Sur,Industrial,Isidora I,115,2024-09-27
Jurel,42.23542168205637,779.1389736257239,76,5.470591069432875,28.709649648083143,Planta 1,Pesca Norte,Artesanal,Francesca,136,2024-10-06
Caballa,23.13660805745305,371.21279659802207,83,5.942454209087517,22.485345979386448,Planta 1,Pesca Norte,Industrial,Isaac,128,2024-06-19
Jurel,38.71657736384103,818.1193294729354,73,6.985059692860441,21.61467632419211,Planta 1,Pesca Norte,Artesanal,Santiago G,149,2024-11-01
Sardina española,24.566097550436005,145.28941533633213,94,5.719971351957033,28.66062266943422,Planta 3,Pesca Norte,Industrial,Liliana,143,2024-09-18
Anchoveta,12.476290456732526,75.49027197018697,77,5.699340621462433,27.04948250525526,Planta 3,Pesca Norte,Artesanal,Licanten,115,2024-01-12
Jurel,40.10537078042256,774.8287377907254,88,6.649120645472678,21.362646227499184,Planta 1,Pesca Sur,Industrial,Emilia,157,2024-10-17
Jurel,43.82837063851511,554.2039691175315,77,5.942260214973942,21.489239740042546,Planta 1,Pesca Sur,Artesanal,Emilia,150,2024-08-16
Sardina española,21.827658813344545,216.35982262859534,87,6.194937613802578,23.938792149561188,Planta 3,Pesca Sur,Industrial,Emilia,157,2024-11-26
Caballa,25.32152464243459,267.36632333036994,92,5.615244368807515,20.43589946140452,Planta 3,Pesca Sur,Industrial,Emilia,117,2024-12-03
Caballa,25.673817106259637,304.58184300787644,76,6.22687799675752,26.907162551906175,Planta 3,Pesca Norte,Industrial,Emilia,138,2024-03-23
Caballa,31.6714994173069,284.3435128686947,72,5.276814827226423,22.08782582288139,Planta 3,Pesca Sur,Industrial,Liliana,101,2024-06-09
Anchoveta,18.096758095733414,85.9657165210312,74,5.939918732071198,28.445865193018737,Planta 3,Pesca Norte,Artesanal,Emilia,143,2024-04-28
Jurel,27.406083783618683,679.970340371725,77,5.553460096887102,20.854159510320446,Planta 3,Pesca Sur,Artesanal,Liliana,104,2024-08-11
Anchoveta,11.95594195372447,76.92541245713967,91,6.359214815306912,29.430088772641355,Planta 1,Pesca Norte,Industrial,Francesca,103,2024-03-10
Anchoveta,15.30883185626994,76.03150922402368,77,5.34626160563982,24.648790330027243,Planta 2,Pesca Sur,Industrial,Isaac,159,2024-06-10
Anchoveta,15.059155390106016,76.92872874588909,82,5.378364524655554,27.661546832779884,Planta 2,Pesca Norte,Industrial,Francesca,150,2024-09-30
Caballa,32.26920311171991,276.84323452313123,74,5.174215172257423,21.080236882889068,Planta 3,Pesca Sur,Industrial,Isidora I,131,2024-11-10
Anchoveta,17.691765607865428,71.22020276748447,78,6.499494297723163,27.733083375697877,Planta 3,Pesca Sur,Artesanal,Isaac,124,2024-07-14
Anchoveta,18.65768780946126,99.326950104591,80,5.77258239700398,23.73726660748268,Planta 1,Pesca Sur,Artesanal,Emilia,112,2024-04-06
Jurel,51.78595722480852,716.0990107987692,76,5.735093187668622,28.571751383889055,Planta 2,Pesca Sur,Industrial,Licanten,141,2024-08-24
Jurel,45.52203479996451,639.8136289433022,79,5.431939939978072,20.56094162590686,Planta 1,Pesca Sur,Artesanal,Francesca,116,2024-03-03
Anchoveta,14.282633272027308,110.49254631608807,75,5.238737488240008,23.18458493389292,Planta 2,Pesca Norte,Artesanal,Emilia,145,2024-05-03
Caballa,31.713288166452948,274.07392850136,94,6.0407041825871435,28.33298521370297,Planta 2,Pesca Sur,Industrial,Francesca,149,2024-07-15
Caballa,32.68089934026208,373.3542354521006,98,5.67138231514854,28.42032047182979,Planta 3,Pesca Norte,Artesanal,Francesca,156,2024-09-03
Jurel,38.07217605773117,653.3523228989584,72,5.605335620149753,24.24291723108885,Planta 1,Pesca Norte,Artesanal,Licanten,115,2024-07-22
Caballa,32.81491986651565,317.49509374773567,89,5.442652828030452,28.911712244587747,Planta 1,Pesca Norte,Artesanal,Francesca,127,2024-04-23
Jurel,42.51593531015865,604.738032877864,85,6.467594241082354,21.02650260485295,Planta 2,Pesca Norte,Industrial,Isaac,142,2024-09-09
Sardina española,16.613037219278027,189.4695241088482,82,6.171353103888725,23.73857382741453,Planta 2,Pesca Sur,Industrial,Francesca,129,2024-02-07
Caballa,26.357682084445813,305.9645020502916,97,6.535651653303725,29.632140890024292,Planta 2,Pesca Norte,Industrial,Licanten,142,2024-10-28
Anchoveta,16.761378401324055,60.77494732902136,90,5.563114246403334,28.432296075407727,Planta 2,Pesca Sur,Industrial,Liliana,157,2024-01-07
Caballa,35.04859330212529,340.47521065311514,87,6.517669964011806,24.857738536111746,Planta 2,Pesca Norte,Artesanal,Santiago G,130,2024-10-12
Anchoveta,19.07387887082068,42.883321020433755,74,5.7158693028372545,26.95484826120897,Planta 2,Pesca Sur,Artesanal,Emilia,116,2024-05-21
Sardina española,21.936630339565195,142.50361610921996,89,5.996258198389592,24.8930980722368,Planta 2,Pesca Sur,Industrial,Licanten,141,2024-10-26
Jurel,26.51801204591908,619.3939880563441,91,5.236853225902179,26.566977897567646,Planta 2,Pesca Sur,Industrial,Santiago G,109,2024-02-09
Caballa,35.461269096654036,269.5348378572376,71,5.158803491603623,23.20481863063481,Planta 1,Pesca Sur,Artesanal,Santiago G,112,2024-01-03
Sardina española,19.978009786522808,170.1135312765938,71,5.550939889251948,22.946464502822078,Planta 2,Pesca Norte,Artesanal,Isaac,120,2024-12-16
Sardina española,25.169465386804184,140.30104398901594,77,5.4374546326527495,29.990867919589682,Planta 2,Pesca Sur,Industrial,Santiago G,116,2024-07-10
Jurel,41.625525783163404,803.1410599218085,71,5.3075638836813805,20.375247724209473,Planta 2,Pesca Norte,Artesanal,Francesca,142,2024-05-25
Caballa,30.151838302575374,303.88848510642026,74,6.805860731693546,28.4040069635954,Planta 2,Pesca Norte,Industrial,Licanten,131,2024-04-01
Anchoveta,17.58215002747833,30.9019683633921,75,6.2882052958170505,28.943180041274665,Planta 2,Pesca Norte,Artesanal,Emilia,152,2024-08-13
Jurel,36.57603669682174,703.4723645011725,88,5.488439875810974,28.4053278226894,Planta 1,Pesca Sur,Artesanal,Liliana,115,2024-08-21
Jurel,42.57780042316078,772.5305154488182,89,5.873596292586932,20.053204075506148,Planta 1,Pesca Sur,Industrial,Liliana,111,2024-11-25
Sardina española,23.574374935503357,112.68073246026344,94,5.8013602145973096,26.843356954925,Planta 1,Pesca Sur,Industrial,Liliana,118,2024-06-26
Sardina española,17.733936958761486,104.27762404374121,73,5.255850349624847,24.742307013356815,Planta 3,Pesca Sur,Industrial,Isaac,151,2024-07-08
Caballa,36.34077819894251,331.56024909450787,91,5.260268148786085,27.212215294799854,Planta 1,Pesca Norte,Artesanal,Isidora I,151,2024-05-02
Anchoveta,11.421309761180026,62.66171113786535,88,5.171086442340679,23.59385344287136,Planta 2,Pesca Norte,Artesanal,Fernanda,147,2024-05-29
Jurel,41.06428112386212,783.8614883167937,87,5.7602246800431764,20.177411695269573,Planta 1,Pesca Sur,Artesanal,Liliana,101,2024-08-03
Caballa,34.341171322825346,257.831384442728,74,6.932604409555156,24.093330159288275,Planta 1,Pesca Norte,Artesanal,Isidora I,139,2024-12-14
Jurel,39.56962324873712,641.3691464795012,83,6.233751093898752,22.356334436572848,Planta 1,Pesca Norte,Industrial,Liliana,158,2024-04-11
Anchoveta,13.349612102012255,52.23915026386,95,6.035577390947477,25.515942894877277,Planta 3,Pesca Sur,Artesanal,Isaac,115,2024-11-05
Anchoveta,14.589691537024146,105.50595675799013,76,6.478990200543539,23.441435355103447,Planta 3,Pesca Sur,Industrial,Emilia,149,2024-05-17
Sardina española,21.66223863109798,156.5492921364697,86,6.929991009435008,28.604807314801278,Planta 1,Pesca Norte,Industrial,Licanten,127,2024-03-15
Anchoveta,14.545156802891642,50.552403513545485,82,5.329914388989132,22.073459024737716,Planta 3,Pesca Norte,Artesanal,Emilia,113,2024-05-24
Caballa,26.084532409036235,293.6237996791431,70,5.1330113731877445,28.11060500158677,Planta 2,Pesca Norte,Industrial,Liliana,131,2024-09-23
Sardina española,15.772974903019986,142.10480412701227,91,6.481783947209005,20.789100303409366,Planta 1,Pesca Sur,Artesanal,Emilia,135,2024-04-20
Sardina española,18.911686469284955,181.2592537912639,79,6.887747946554068,23.787890496273683,Planta 1,Pesca Sur,Industrial,Emilia,148,2024-07-02
Anchoveta,15.538651544469321,69.17323211567654,99,6.290706655310736,24.17514336315449,Planta 2,Pesca Sur,Industrial,Fernanda,126,2024-04-24
Sardina española,20.766363784578846,86.79123086948677,79,6.382415235249208,21.08498500091638,Planta 3,Pesca Norte,Artesanal,Isaac,134,2024-06-21
Anchoveta,9.601184709108672,114.78983685886884,76,5.924262812809294,27.760556801112646,Planta 2,Pesca Norte,Industrial,Francesca,117,2024-10-07
Sardina española,15.627193153836398,164.93741003956896,85,5.719058438770704,27.02253371373223,Planta 1,Pesca Norte,Artesanal,Licanten,149,2024-05-12
Anchoveta,21.328781959108596,58.70456303933889,72,5.05007668652839,27.562575981967147,Planta 3,Pesca Sur,Artesanal,Emilia,117,2024-12-20
Jurel,21.50144500347384,660.8638989285263,71,5.0013473898773,27.32025614747243,Planta 3,Pesca Sur,Artesanal,Liliana,134,2024-04-01
Anchoveta,15.071478340240247,138.4214758658986,86,6.183028782975629,24.044772445482685,Planta 3,Pesca Norte,Industrial,Isaac,131,2024-09-01
Anchoveta,18.398846858539837,76.34419001332918,80,5.620754043692754,24.599654729428,Planta 3,Pesca Sur,Artesanal,Isidora I,131,2024-06-02
Caballa,26.57183509623186,297.70644695661144,95,6.194842881814002,29.790008818126,Planta 3,Pesca Sur,Industrial,Isaac,141,2024-08-29
Anchoveta,15.533041947330437,104.82087142090846,85,5.501857368718298,29.234358625586506,Planta 1,Pesca Norte,Industrial,Santiago G,126,2024-07-29
